mgmt_code,mgmt_name,short_name,former_name
AI3,파인투자자문,파인자문,
AV3,퍼시픽투자자문,퍼시픽자문,
D92,페이스브릿지,페이스브릿지자문,
D17,포라인투자자문 주식회사,포라인자문,
D99,포르투나투자일임(주),포르투나자문,
AZ2,포인트투자자문 주식회사,포인트자문,
DA3,포컴에셋,포컴에셋자문,
DG8,프랭클린템플턴투자자문㈜,프랭클린템플턴자문,
D71,프레스토투자자문,프레스토자문,
D28,플레인바닐라투자자문,플레인바닐라자문,주식회사 플레인바닐라
DF6,하이브인베스트주식회사,하이브자문,
D61,하인즈코리아투자자문,하인즈자문,
AZ3,한국연금투자자문(주),한국연금자문,
D44,한빛트러스트 주식회사,한빛자문,
D06,허브인베스트매니지먼트 주식회사,허브자문,허브인베스트먼트매니지먼트 주식회사
D82,혁신투자자문(주),혁신자문,
AV6,히스토리투자자문,히스토리자문,
