rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000067,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2511,O
20260911000067,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2591,O
20260911000067,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2601,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2698,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2823,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,2841,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,3009,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,3030,O
20260911000067,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,3033,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,599,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,619,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,633,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,640,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,650,O
20260911000093,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,653,O
20260911000093,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,662,O
20260911000093,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,699,O
20260911000093,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,730,O
20260911000093,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,736,O
20260911000093,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,748,O
20260911000093,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,798,O
20260911000093,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,937,O
20260911000093,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,959,O
